address,reward(wei),reward(ether)
0x68714Ea8F4CAb5934E38B0B2b61a842926690159,49165974336928895658,49.16
0x47b2EFa18736C6C211505aEFd321bEC3AC3E8779,49064434372818044467,49.06
0x6a21580D0bee87d97e1226389Cde8CBc9ff49F8F,49023282375871552422,49.02
0x0598D2c365A5661032a91Da03ED74E298ceEA67b,48627222554708795105,48.62
0x42e336fc4a4DBd3CF039f448Fe48B73Ca19aCA3a,48179571404827649315,48.17
0x8F08EE5e3E44bdC28127e050FCB13F5E4671433d,48157016456601961674,48.15
0x566BD52454aeD2DAFD7469C8aBa9e313a748cAE7,46666695178868393351,46.66
0x74A2ed807c6B4765C24f35e1903accD2d4df65E1,46613123101271345866,46.61
0x48faF310AEF464145d5d8b8ED342f639528FDFF7,46328866674868698408,46.32
0xe7948637F5eD015a09f9Cd446502E0f6d4fa9ac2,46114636861599019547,46.11
0xc24B59aF793B19910528FF9CE904089d2D09aBD0,45611867811715606478,45.61
0x50D4c3D989b7247a25C7F9D4b8E0e54E1Db8808b,45193891212013649309,45.19
0xa15382087203a3B07882252126F7344f5b1E5293,44641506912929579839,44.64
0xC18926Cb21791bfBC2c8b5B80FDFE68a6757D819,44297877570256010855,44.29
0x7f43909414ff1b9E8fCc531E87212378E4A3F9E4,43858612464128452712,43.85
0x3c53BE8C61153B6f84178d5cB4b3A4A974cA7535,43754076074771425675,43.75
0x94E1218774dD0fBe40560846A00fF1372d4b1D3e,43738995805161777907,43.73
0x14c1F1129cbb3DE466A234530D27877Bc1B05452,43070037324413545361,43.07
0xADEf588921BCCe9CB3c3ec0c151E2cE3E3c4270d,42933974689401109442,42.93
0x7AD8B128856E473DE0FFAf65434FC2Edb12FB7D0,42787270001306349936,42.78
0xCCE56EdD5e4594AadE98E84d3FE6a64e13a6D073,42741830953673913713,42.74
0x3b0a61f6773A53ae9A6c0700BBf5331244aE4B18,42567850595335913856,42.56
0x20a6B336511145CE8F84a52AeF49bEBf566f9f1a,42321230827201255423,42.32
0x43681F57B3F5C6ce26cf3e828baa7Bf5b38f84D4,42260990693585459632,42.26
0xaABe31b85EEEe3FD46893996F1C7493Ae8554cF3,42080457611473182509,42.08
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,41679600018858540104,41.67
